caseid,age,if_discrim,if_cyber_bullying,if_drugs,if_drink,if_school_attandence,if_mental_healthy,working_hour_weekly,number_relative_friends
1,2,1,NA,0,5,0,3,40,12
2,2,0,NA,0,4,0,1,NA,20
3,2,0,0,0,3,0,1,40,10
4,5,0,NA,0,3,0,2,NA,30
5,5,0,NA,0,5,0,2,40,10
6,6,0,NA,0,4,0,2,NA,20
7,2,0,NA,0,4,0,3,40,6
8,5,0,NA,0,7,0,2,40,17
9,5,0,NA,0,7,0,2,NA,10
10,2,0,NA,0,5,0,1,70,5
11,5,0,NA,0,7,0,2,60,1
12,5,0,NA,0,4,0,1,NA,50
13,3,1,NA,0,5,0,2,32,8
14,4,0,NA,0,2,0,2,45,6
15,3,1,NA,0,4,0,1,NA,5
16,2,0,NA,0,2,0,1,40,20
17,1,0,NA,0,3,1,1,40,10
18,3,0,NA,0,4,0,1,37,12
19,3,0,NA,0,3,0,1,40,5
20,6,0,NA,0,7,0,3,NA,7
21,6,0,NA,0,5,0,1,NA,23
22,7,0,NA,0,5,0,1,NA,25
23,6,0,NA,0,6,0,2,NA,12
24,2,1,NA,0,3,0,4,NA,5
25,6,1,NA,0,2,0,1,NA,10
26,7,0,NA,0,7,0,1,NA,3
27,3,0,NA,0,4,0,1,40,NA
28,2,0,NA,0,3,0,2,52,18
29,4,0,NA,0,6,0,2,37.5,24
30,1,0,NA,0,7,1,2,NA,3
31,4,0,NA,0,3,0,3,43,12
32,4,0,NA,0,7,0,3,NA,2
33,6,0,NA,0,5,0,1,NA,5
34,3,0,NA,0,6,0,1,40,10
35,1,0,NA,0,6,1,1,42,10
36,5,0,NA,0,2,0,1,35,5
37,5,0,NA,0,1,0,3,60,8
38,6,0,NA,0,6,0,5,NA,0
39,4,0,NA,0,7,0,1,25,3
40,7,0,NA,0,7,0,1,NA,4
41,5,1,NA,0,3,0,2,55,4
42,1,0,NA,0,4,1,1,20,10
43,1,0,NA,0,7,1,2,30,10
44,6,0,NA,0,2,0,4,NA,10
45,4,0,NA,0,2,0,2,45,10
46,1,0,NA,0,5,0,4,NA,5
47,1,0,NA,0,5,1,1,18,3
48,7,0,NA,0,3,0,2,NA,25
49,3,0,NA,0,5,0,3,36,3
50,5,0,NA,0,1,0,2,35,10
51,6,0,NA,0,3,0,2,NA,30
52,6,0,NA,0,5,0,3,NA,10
53,6,0,NA,0,3,0,3,27,2
54,4,0,NA,0,7,0,2,30,5
55,2,0,NA,0,3,0,2,70,8
56,6,0,NA,0,6,0,3,NA,6
57,4,0,NA,0,3,0,1,40,11
58,7,0,NA,0,5,0,2,NA,25
59,3,0,NA,0,7,0,1,40,5
60,7,0,NA,0,7,0,2,NA,0
61,5,0,NA,0,4,0,1,45,50
62,2,0,NA,0,7,0,1,20,10
63,1,0,NA,0,4,1,2,8,10
64,4,0,NA,0,4,0,2,40,0
65,2,0,NA,0,4,0,1,45,100
66,6,0,NA,0,1,0,3,40,1
67,3,1,NA,0,6,0,1,45,5
68,1,0,NA,0,4,1,1,NA,2
69,3,0,NA,0,7,0,3,8,5
70,2,0,NA,0,3,0,3,84,2
71,5,1,NA,0,3,0,3,37.5,2
72,5,0,NA,0,6,0,2,40,4
73,6,0,NA,0,3,0,1,20,10
74,6,0,NA,0,2,0,1,NA,10
75,3,0,NA,0,5,0,1,40,15
76,2,0,NA,0,5,0,1,40,NA
77,5,0,NA,0,3,0,2,NA,5
78,6,1,NA,0,7,0,3,NA,1
79,5,0,NA,0,5,0,2,NA,20
80,3,0,NA,0,2,0,3,37.5,30
81,1,0,NA,0,5,1,2,40,4
82,1,0,NA,0,4,1,1,20,8
83,6,0,NA,0,5,0,3,10,2
84,6,0,NA,0,7,0,2,NA,15
85,7,0,NA,0,7,0,2,NA,15
86,4,1,0,0,4,0,3,40,NA
87,5,1,NA,0,7,0,2,37.5,2
88,5,0,NA,0,6,0,3,NA,5
89,3,0,0,0,3,0,1,20,10
90,1,0,NA,0,7,0,4,NA,5
91,3,1,NA,0,7,0,1,35,7
92,2,0,NA,0,4,0,3,40,15
93,6,0,NA,0,5,0,2,NA,5
94,3,0,NA,0,3,1,2,NA,2
